#{"t_start": 1764200170.7119212, "env_id": "None"}
r,l,t
2.0,7,0.010384
8.0,7,0.011259
47.0,7,0.012152
23.0,7,0.012968
-19.0,7,0.016536
21.0,7,0.017446
3.0,7,0.018335
-24.0,7,0.019151
-9.0,7,0.02262
19.0,7,0.023564
-2.0,7,0.024453
18.0,7,0.025324
15.0,7,0.028833
7.0,7,0.029752
-1.0,7,0.030655
-11.0,7,0.03148
-16.0,7,0.035049
-20.0,7,0.035989
49.0,7,0.036855
41.0,7,0.037678
12.0,7,0.04134
-21.0,7,0.042306
-15.0,7,0.043164
14.0,7,0.04414
15.0,7,0.048259
26.0,7,0.049231
-21.0,7,0.050157
8.0,7,0.051048
-19.0,7,0.054651
17.0,7,0.055609
3.0,7,0.056533
-18.0,7,0.057417
-23.0,7,0.061017
4.0,7,0.061969
-3.0,7,0.062892
-18.0,7,0.063724
0.0,7,0.067312
5.0,7,0.068263
43.0,7,0.069196
4.0,7,0.070092
-23.0,7,0.073599
5.0,7,0.074495
-5.0,7,0.075415
6.0,7,0.07623
-7.0,7,0.079676
2.0,7,0.080598
-17.0,7,0.081482
6.0,7,0.082297
7.0,7,0.085747
47.0,7,0.08662
4.0,7,0.087481
1.0,7,0.088317
22.0,7,0.091809
14.0,7,0.092707
0.0,7,0.093621
-23.0,7,0.094457
-16.0,7,0.097913
-12.0,7,0.098803
-6.0,7,0.099691
10.0,7,0.100511
-6.0,7,0.103998
-15.0,7,0.104912
-1.0,7,0.105794
-3.0,7,0.106648
3.0,7,0.112165
22.0,7,0.113119
-4.0,7,0.114035
6.0,7,0.114956
39.0,7,0.118467
25.0,7,0.119384
-5.0,7,0.120271
-18.0,7,0.121117
-7.0,7,0.124617
-24.0,7,0.125553
-25.0,7,0.126468
40.0,7,0.127324
-21.0,7,0.130799
6.0,7,0.131727
-17.0,7,0.132653
8.0,7,0.133522
-15.0,7,0.13701
-11.0,7,0.137868
5.0,7,0.138739
51.0,7,0.139562
0.0,7,0.143218
-21.0,7,0.144172
44.0,7,0.145099
