#{"t_start": 1764274186.327047, "env_id": "None"}
r,l,t
-18.0,7,6.542838
-17.0,7,6.558071
21.0,7,6.57691
-20.0,7,6.591187
1.0,7,6.607363
23.0,7,6.625981
-4.0,7,6.640118
-1.0,7,6.659403
-2.0,7,6.673555
15.0,7,6.687731
-21.0,7,6.708482
1.0,7,6.722755
-3.0,7,6.741378
1.0,7,6.755592
-17.0,7,6.769702
7.0,7,6.788175
-8.0,7,6.804217
1.0,7,6.82277
-13.0,7,6.83695
20.0,7,6.851132
-18.0,7,6.870152
21.0,7,6.884505
-16.0,7,6.904747
0.0,7,6.91888
-2.0,7,6.933123
-13.0,7,6.952004
39.0,7,6.966262
-6.0,7,6.984791
-18.0,7,6.998951
24.0,7,7.015016
-5.0,7,7.033517
-2.0,7,7.047623
18.0,7,7.066128
-16.0,7,7.080154
-21.0,7,7.094166
26.0,7,7.114753
-1.0,7,7.128896
-2.0,7,7.147301
38.0,7,7.16152
-25.0,7,7.175675
23.0,7,7.194163
-25.0,7,7.21011
-21.0,7,7.228761
15.0,7,7.242977
-16.0,7,7.257365
-2.0,7,7.275947
-6.0,7,7.290076
-1.0,7,7.308623
37.0,7,7.324667
3.0,7,7.338998
5.0,7,7.357805
-4.0,7,7.372129
-7.0,7,7.390837
17.0,7,7.405131
-3.0,7,7.421126
21.0,7,7.439692
-6.0,7,7.45391
-3.0,7,7.47241
1.0,7,7.486652
-1.0,7,7.500819
-4.0,7,7.521484
-6.0,7,7.535674
-3.0,7,7.554504
-4.0,7,7.56876
18.0,7,7.583026
-6.0,7,7.601513
8.0,7,7.617543
-25.0,7,7.636209
7.0,7,7.650403
19.0,7,7.664605
12.0,7,7.683259
5.0,7,7.700391
17.0,7,7.72088
19.0,7,7.735131
-20.0,7,7.74921
15.0,7,7.767753
-18.0,7,7.781738
53.0,7,7.800372
-4.0,7,7.814787
20.0,7,7.830782
-25.0,7,7.849334
-24.0,7,7.864109
-25.0,7,7.883285
-1.0,7,7.897819
21.0,7,7.912284
-7.0,7,7.933106
39.0,7,7.947615
6.0,7,7.966492
5.0,7,7.980962
39.0,7,7.995189
-7.0,7,8.013816
1.0,7,8.029947
-25.0,7,8.048673
-6.0,7,8.062987
-20.0,7,8.077251
-18.0,7,8.095823
72.0,7,8.110262
-25.0,7,8.131193
-2.0,7,8.145407
17.0,7,8.159876
-20.0,7,8.178507
3.0,7,8.192769
-2.0,7,8.211422
-24.0,7,8.225676
-20.0,7,8.241862
-7.0,7,8.260438
-15.0,7,8.274711
-25.0,7,8.293307
-1.0,7,8.307573
-1.0,7,8.321857
-20.0,7,8.342541
-22.0,7,8.356915
20.0,7,8.375627
5.0,7,8.389906
-2.0,7,8.404283
-16.0,7,8.423077
-23.0,7,8.439276
-2.0,7,8.457889
-13.0,7,8.472147
2.0,7,8.486801
-3.0,7,8.505748
22.0,7,8.52009
-24.0,7,8.540687
-19.0,7,8.55511
-4.0,7,8.569435
19.0,7,8.588031
-25.0,7,8.602273
-4.0,7,8.620945
-4.0,7,8.637142
18.0,7,8.651473
3.0,7,8.670168
18.0,7,8.684456
3.0,7,8.703028
0.0,7,8.717145
-20.0,7,8.731393
19.0,7,8.751855
0.0,7,8.766026
1.0,7,8.784611
66.0,7,8.798837
-25.0,7,8.813038
-1.0,7,8.831529
15.0,7,8.847702
-3.0,7,8.8703
