#{"t_start": 1764362511.4571967, "env_id": "None"}
r,l,t
20.0,7,0.019672
25.0,7,0.029393
21.0,7,0.039043
3.0,7,0.04868
40.0,7,0.05836
-7.0,7,0.068004
21.0,7,0.077611
-14.0,7,0.087285
-16.0,7,0.096939
-4.0,7,0.106709
-25.0,7,0.119296
-3.0,7,0.129138
5.0,7,0.138723
13.0,7,0.148393
-1.0,7,0.158021
5.0,7,0.167619
18.0,7,0.177248
18.0,7,0.186764
16.0,7,0.196542
-7.0,7,0.206204
-3.0,7,0.217982
2.0,7,0.227908
-7.0,7,0.237597
42.0,7,0.247213
-25.0,7,0.256837
-23.0,7,0.26647
18.0,7,0.276149
-4.0,7,0.285668
19.0,7,0.295283
-1.0,7,0.304934
-1.0,7,0.316892
-24.0,7,0.326924
-3.0,7,0.336972
26.0,7,0.346925
-23.0,7,0.35673
19.0,7,0.366332
-3.0,7,0.376014
-1.0,7,0.385612
-3.0,7,0.395293
-16.0,7,0.40481
-23.0,7,0.416705
3.0,7,0.426638
-20.0,7,0.436314
21.0,7,0.445978
-10.0,7,0.455535
15.0,7,0.465181
-2.0,7,0.474752
5.0,7,0.484292
17.0,7,0.493932
2.0,7,0.503565
-2.0,7,0.513271
-2.0,7,0.525097
56.0,7,0.534717
6.0,7,0.544327
22.0,7,0.553986
-17.0,7,0.563581
-23.0,7,0.573246
20.0,7,0.582895
2.0,7,0.592558
-1.0,7,0.602146
-3.0,7,0.612502
-3.0,7,0.625612
4.0,7,0.636326
20.0,7,0.6463
21.0,7,0.655984
-2.0,7,0.665602
2.0,7,0.675207
6.0,7,0.684766
24.0,7,0.694453
3.0,7,0.704153
0.0,7,0.713798
5.0,7,0.725656
4.0,7,0.735301
-19.0,7,0.744938
-20.0,7,0.756909
17.0,7,0.768938
-3.0,7,0.78088
-2.0,7,0.792815
36.0,7,0.804729
21.0,7,0.816709
4.0,7,0.828925
23.0,7,0.838639
5.0,7,0.848282
5.0,7,0.857906
26.0,7,0.867525
13.0,7,0.877198
-3.0,7,0.886828
27.0,7,0.89648
-11.0,7,0.906121
19.0,7,0.915768
-12.0,7,0.927508
40.0,7,0.937261
-3.0,7,0.946893
44.0,7,0.956524
0.0,7,0.966182
-6.0,7,0.97581
20.0,7,0.985492
1.0,7,0.995181
24.0,7,1.004795
-3.0,7,1.014726
2.0,7,1.024968
-11.0,7,1.037041
44.0,7,1.046668
42.0,7,1.056321
28.0,7,1.065986
-16.0,7,1.075613
15.0,7,1.085271
0.0,7,1.094917
15.0,7,1.104562
-1.0,7,1.115085
-6.0,7,1.124697
