#{"t_start": 1764267631.0031526, "env_id": "None"}
r,l,t
14.0,7,0.009301
-20.0,7,0.021816
0.0,7,0.033537
38.0,7,0.045203
3.0,7,0.056821
2.0,7,0.068725
-3.0,7,0.081134
-21.0,7,0.092979
1.0,7,0.104541
-14.0,7,0.117271
-4.0,7,0.129215
24.0,7,0.140833
-19.0,7,0.152817
26.0,7,0.165192
5.0,7,0.176969
-1.0,7,0.188549
8.0,7,0.201316
-16.0,7,0.213534
44.0,7,0.225323
43.0,7,0.237221
-20.0,7,0.24976
-25.0,7,0.261534
-5.0,7,0.27311
-7.0,7,0.286364
12.0,7,0.298726
2.0,7,0.310563
-10.0,7,0.322436
-10.0,7,0.335078
-4.0,7,0.347086
14.0,7,0.35871
-18.0,7,0.373739
25.0,7,0.38605
14.0,7,0.398056
3.0,7,0.410241
-3.0,7,0.422883
-17.0,7,0.434831
43.0,7,0.446953
0.0,7,0.459604
2.0,7,0.471685
-3.0,7,0.483604
-4.0,7,0.495747
-6.0,7,0.508206
-18.0,7,0.520196
-7.0,7,0.531941
-24.0,7,0.54459
-11.0,7,0.556731
10.0,7,0.568467
22.0,7,0.580597
-4.0,7,0.593372
21.0,7,0.605359
-18.0,7,0.61727
16.0,7,0.630013
-20.0,7,0.642302
-18.0,7,0.654039
-1.0,7,0.666172
1.0,7,0.679001
-2.0,7,0.691144
5.0,7,0.703022
18.0,7,0.715772
-23.0,7,0.728024
4.0,7,0.741257
-24.0,7,0.753543
6.0,7,0.765947
-5.0,7,0.778021
3.0,7,0.789858
7.0,7,0.802558
18.0,7,0.814799
-7.0,7,0.826661
-21.0,7,0.838625
-20.0,7,0.851252
24.0,7,0.863287
1.0,7,0.875085
17.0,7,0.887947
-3.0,7,0.900259
-1.0,7,0.912102
-2.0,7,0.924248
-7.0,7,0.936816
-4.0,7,0.948787
-4.0,7,0.961974
19.0,7,0.976097
-24.0,7,0.988234
15.0,7,1.000003
-24.0,7,1.012507
6.0,7,1.025021
17.0,7,1.036978
-24.0,7,1.048902
-4.0,7,1.061856
15.0,7,1.073885
20.0,7,1.085794
43.0,7,1.097973
14.0,7,1.11033
22.0,7,1.122308
-25.0,7,1.134094
-3.0,7,1.146727
-19.0,7,1.158812
-5.0,7,1.170518
-7.0,7,1.182571
-2.0,7,1.195155
24.0,7,1.207129
-12.0,7,1.21897
-4.0,7,1.231443
-1.0,7,1.24363
7.0,7,1.255434
-25.0,7,1.267549
2.0,7,1.280197
-6.0,7,1.292161
42.0,7,1.304057
19.0,7,1.316887
4.0,7,1.331615
2.0,7,1.344845
5.0,7,1.357384
-7.0,7,1.369634
-4.0,7,1.38153
-4.0,7,1.393464
-19.0,7,1.40629
0.0,7,1.418375
39.0,7,1.430242
-20.0,7,1.443333
20.0,7,1.457179
-13.0,7,1.470294
-24.0,7,1.483743
-2.0,7,1.496313
-3.0,7,1.508261
24.0,7,1.519943
-18.0,7,1.532358
14.0,7,1.544391
-15.0,7,1.556037
-5.0,7,1.567834
0.0,7,1.580329
-4.0,7,1.592161
-4.0,7,1.603748
1.0,7,1.61536
65.0,7,1.627016
-20.0,7,1.638664
